row_id,master_table_name,combined_row_type,source_model_period,bank_amount_counting_flag,bank_amount_for_reconciliation,business_allocated_amount_for_reconciliation,is_split_mapping,split_mapping_row_number,split_mapping_total_rows,bank_transaction_id,bank_account_id,bank_account_name,transaction_date,booking_date,value_date,transaction_sequence,direction,bank_amount_original,bank_currency,bank_fx_rate,bank_base_currency,bank_base_currency_amount,running_balance_base,counterparty_raw_name,transaction_description_raw,bank_reference,payment_method,bank_channel,country_hint,merchant_category_hint,is_user_visible,is_duplicate_candidate,is_reversal_candidate,is_internal_transfer_candidate,data_quality_issue_flag,data_quality_issue_type,raw_statement_line,mapping_id,mapping_type,allocated_amount_original,mapping_currency,allocated_amount_base,allocation_ratio,mapping_confidence_truth,platform_payout_id,allocation_status,mapping_explanation,business_event_id,business_event_date,business_event_month,fiscal_year,fiscal_quarter,company_id,region,business_country,customer_id,customer_name,supplier_id,supplier_name,counterparty_standard_name,counterparty_type,business_event_type,revenue_or_cost_category,product_or_service,department,cost_center,project,sales_channel,contract_id,contract_start_date,contract_end_date,ongoing_contract_flag,invoice_number,invoice_date,invoice_amount_original,business_currency,business_base_currency,business_fx_rate,business_base_currency_amount,payment_terms_days,due_date,expected_settlement_date,actual_settlement_date,settlement_status,settlement_lag_days,aging_bucket,partial_settlement_flag,open_amount_original,open_amount_base,overdue_flag,refund_or_reversal_flag,platform_payout_related_flag,generation_method,assumption_level,business_explanation,source_table_trace,customer_type,payout_country_scope,payout_region_scope,duplicate_candidate_group,duplicate_similarity_basis,daily_transaction_sequence
MASTER-0000001,keeya_europe_bank_business_master_table,BANK_TO_BUSINESS,2021-01,TRUE,-1037.51,-1037.51,FALSE,1,1,BTX-REF-202101-0002,KEEYA-NL-OPER-001,EUR operating account,2021-01-13,2021-01-13,2021-01-14,1,OUTFLOW,-1037.51,EUR,1.000000,EUR,-1037.51,-1037.51,BAKKER LEGAL SERVICES B.V.,SEPA REFUND CM-202101-002,CM-202101-002,SEPA Transfer,SEPA_BANK_EXPORT,Netherlands,B2B_CUSTOMER,TRUE,FALSE,TRUE,FALSE,TRUE,REFUND_OR_REVERSAL,2021-01-13 | -1037.51 | EUR | BAKKER LEGAL SERVICES B.V. | SEPA REFUND CM-202101-002 | CM-202101-002,MAP-0000001,REFUND_LINK,-1037.51,EUR,-1037.51,1.000000,0.68,,REVIEW_NEEDED,Direct bank transaction to business event mapping.,BE-REF-202101-002,2021-01-09,2021-01,2021,Q1,KEEYA_EUROPE_BV,Benelux,Netherlands,CUST-NL-008,Bakker Legal Services B.V.,,,Bakker Legal Services B.V.,CUSTOMER,Refund,Refund / Chargeback,Customer Refund / Chargeback,Core Automation Platform,Customer Success,Customer Credits and Disputes,Customer Support,CT-CUST-NL-008-202101,2021-01-09,2022-01-09,FALSE,CM-202101-002,2021-01-09,1037.51,EUR,EUR,1.00,-1037.51,15,2021-01-24,2021-01-24,2021-01-13,REFUNDED,4,CURRENT,FALSE,0.00,0.00,FALSE,TRUE,FALSE,derived_from_v4_master,low,Business fact derived from V4 operating simulation.,bank_statement_table + bank_business_mapping_table + business_truth_table,E-commerce Seller,,,,,1
MASTER-0000002,keeya_europe_bank_business_master_table,BANK_TO_BUSINESS,2021-01,TRUE,-914.21,-914.21,FALSE,1,1,BTX-REF-202101-0001,KEEYA-NL-OPER-001,EUR operating account,2021-01-17,2021-01-17,2021-01-18,2,OUTFLOW,-914.21,EUR,1.000000,EUR,-914.21,-1951.72,IBERIA SHOP ONLINE S.L.,SEPA REFUND CM-202101-001,CM-202101-001,SEPA Transfer,SEPA_BANK_EXPORT,Spain,B2B_CUSTOMER,TRUE,FALSE,TRUE,FALSE,TRUE,REFUND_OR_REVERSAL,2021-01-17 | -914.21 | EUR | IBERIA SHOP ONLINE S.L. | SEPA REFUND CM-202101-001 | CM-202101-001,MAP-0000002,REFUND_LINK,-914.21,EUR,-914.21,1.000000,0.68,,REVIEW_NEEDED,Direct bank transaction to business event mapping.,BE-REF-202101-001,2021-01-16,2021-01,2021,Q1,KEEYA_EUROPE_BV,Southern Europe,Spain,CUST-ES-005,Iberia Shop Online S.L.,,,Iberia Shop Online S.L.,CUSTOMER,Refund,Refund / Chargeback,Customer Refund / Chargeback,Core Automation Platform,Customer Success,Customer Credits and Disputes,Customer Support,CT-CUST-ES-005-202101,2021-01-16,2022-01-16,FALSE,CM-202101-001,2021-01-16,914.21,EUR,EUR,1.00,-914.21,15,2021-01-31,2021-01-31,2021-01-17,REFUNDED,1,CURRENT,FALSE,0.00,0.00,FALSE,TRUE,FALSE,derived_from_v4_master,low,Business fact derived from V4 operating simulation.,bank_statement_table + bank_business_mapping_table + business_truth_table,Accounting Firm,,,,,1
MASTER-0000003,keeya_europe_bank_business_master_table,BANK_TO_BUSINESS,2021-01,TRUE,74060.56,16457.90,TRUE,1,3,BTX-REV-202101-0004,KEEYA-PLATFORM-CLEAR-001,platform clearing account,2021-01-20,2021-01-20,2021-01-21,1,INFLOW,74060.56,EUR,1.000000,EUR,74060.56,74060.56,PayPal Europe S.a r.l.,PAYPAL TRANSFER 202101-004 EUR 205723.78,PAYPAL-PO-202101-004,PayPal,API_EXPORT,France;Netherlands,PAYMENT_PROCESSOR,TRUE,FALSE,FALSE,FALSE,FALSE,,2021-01-20 | 74060.56 | EUR | PayPal Europe S.a r.l. | PAYPAL TRANSFER 202101-004 EUR 205723.78 | PAYPAL-PO-202101-004,MAP-0000003,ONE_BANK_TXN_TO_MULTIPLE_BUSINESS_EVENTS,16457.90,EUR,16457.90,0.222222,0.94,PO-PAY-202101-004,ALLOCATED,Platform processor payout allocated to customer invoice item.,BTX-REV-202101-0004-ALLOC-001,2021-01-05,2021-01,2021,Q1,KEEYA_EUROPE_BV,Western Europe,France,CUST-FR-012,Atelier Finance Pro SAS,,,Atelier Finance Pro SAS,CUSTOMER,Platform Payout Revenue,Implementation Service Revenue,EU Pilot,Enterprise Pilot and Onboarding,Revenue Operations,EU Pilot,Partner Channel,CT-CUST-FR-012-202101,2021-01-05,2026-12-31,TRUE,INV-202101-009,2021-01-05,16457.90,EUR,EUR,1.00,16457.90,15,2021-01-20,2021-01-20,2021-01-20,SETTLED_ON_TIME,15,CURRENT,FALSE,0.00,0.00,FALSE,FALSE,TRUE,derived_from_v4_master_platform_split,medium,Platform payout allocation item derived from processor batch.,bank_statement_table + bank_business_mapping_table + business_truth_table,Retail Chain,France | Netherlands,Benelux | Western Europe,,,1
MASTER-0000004,keeya_europe_bank_business_master_table,BANK_TO_BUSINESS,2021-01,FALSE,0.00,24686.85,TRUE,2,3,BTX-REV-202101-0004,KEEYA-PLATFORM-CLEAR-001,platform clearing account,2021-01-20,2021-01-20,2021-01-21,1,INFLOW,74060.56,EUR,1.000000,EUR,74060.56,74060.56,PayPal Europe S.a r.l.,PAYPAL TRANSFER 202101-004 EUR 205723.78,PAYPAL-PO-202101-004,PayPal,API_EXPORT,France;Netherlands,PAYMENT_PROCESSOR,TRUE,FALSE,FALSE,FALSE,FALSE,,2021-01-20 | 74060.56 | EUR | PayPal Europe S.a r.l. | PAYPAL TRANSFER 202101-004 EUR 205723.78 | PAYPAL-PO-202101-004,MAP-0000004,ONE_BANK_TXN_TO_MULTIPLE_BUSINESS_EVENTS,24686.85,EUR,24686.85,0.333333,0.94,PO-PAY-202101-004,ALLOCATED,Platform processor payout allocated to customer invoice item.,BTX-REV-202101-0004-ALLOC-002,2021-01-05,2021-01,2021,Q1,KEEYA_EUROPE_BV,Benelux,Netherlands,CUST-NL-013,Rotterdam Parts Wholesale B.V.,,,Rotterdam Parts Wholesale B.V.,CUSTOMER,Platform Payout Revenue,Implementation Service Revenue,Partner Expansion,Enterprise Pilot and Onboarding,Revenue Operations,EU Pilot,Partner Channel,CT-CUST-FR-012-202101,2021-01-05,2026-12-31,TRUE,INV-202101-011,2021-01-05,24686.85,EUR,EUR,1.00,24686.85,15,2021-01-20,2021-01-20,2021-01-20,SETTLED_ON_TIME,15,CURRENT,FALSE,0.00,0.00,FALSE,FALSE,TRUE,derived_from_v4_master_platform_split,medium,Platform payout allocation item derived from processor batch.,bank_statement_table + bank_business_mapping_table + business_truth_table,SaaS Startup,France | Netherlands,Benelux | Western Europe,,,1
MASTER-0000005,keeya_europe_bank_business_master_table,BANK_TO_BUSINESS,2021-01,FALSE,0.00,32915.81,TRUE,3,3,BTX-REV-202101-0004,KEEYA-PLATFORM-CLEAR-001,platform clearing account,2021-01-20,2021-01-20,2021-01-21,1,INFLOW,74060.56,EUR,1.000000,EUR,74060.56,74060.56,PayPal Europe S.a r.l.,PAYPAL TRANSFER 202101-004 EUR 205723.78,PAYPAL-PO-202101-004,PayPal,API_EXPORT,France;Netherlands,PAYMENT_PROCESSOR,TRUE,FALSE,FALSE,FALSE,FALSE,,2021-01-20 | 74060.56 | EUR | PayPal Europe S.a r.l. | PAYPAL TRANSFER 202101-004 EUR 205723.78 | PAYPAL-PO-202101-004,MAP-0000005,ONE_BANK_TXN_TO_MULTIPLE_BUSINESS_EVENTS,32915.81,EUR,32915.81,0.444445,0.94,PO-PAY-202101-004,ALLOCATED,Platform processor payout allocated to customer invoice item.,BTX-REV-202101-0004-ALLOC-003,2021-01-05,2021-01,2021,Q1,KEEYA_EUROPE_BV,Benelux,Netherlands,CUST-NL-002,Van Dijk Accountants B.V.,,,Lumiere Conseil SARL,CUSTOMER,Platform Payout Revenue,Implementation Service Revenue,Reconciliation Engine,Enterprise Pilot and Onboarding,Revenue Operations,EU Pilot,Partner Channel,CT-CUST-FR-012-202101,2021-01-05,2026-12-31,TRUE,INV-202101-006,2021-01-05,32915.81,EUR,EUR,1.00,32915.81,15,2021-01-20,2021-01-20,2021-01-20,SETTLED_ON_TIME,15,CURRENT,FALSE,0.00,0.00,FALSE,FALSE,TRUE,derived_from_v4_master_platform_split,medium,Platform payout allocation item derived from processor batch.,bank_statement_table + bank_business_mapping_table + business_truth_table,Accounting Firm,France | Netherlands,Benelux | Western Europe,,,1
MASTER-0000006,keeya_europe_bank_business_master_table,BANK_TO_BUSINESS,2021-01,TRUE,-5155.00,-5155.00,FALSE,1,1,BTX-EXP-202101-0009,KEEYA-PAYROLL-001,payroll account,2021-01-25,2021-01-25,2021-01-26,1,OUTFLOW,-5155.00,EUR,1.000000,EUR,-5155.00,-5155.00,SALARY RUN KEEYA BV,PAYROLL BATCH 2021-01,VREF-PAY-2021-01-LES,Payroll Batch,SEPA_BANK_EXPORT,Netherlands,PAYROLL,TRUE,FALSE,FALSE,FALSE,FALSE,,2021-01-25 | -5155.00 | EUR | SALARY RUN KEEYA BV | PAYROLL BATCH 2021-01 | VREF-PAY-2021-01-LES,MAP-0000006,ONE_TO_ONE,-5155.00,EUR,-5155.00,1.000000,0.94,,ALLOCATED,Duplicate label removed during repair because row was not part of a high-similarity duplicate group.,BE-EXP-202101-009,2021-01-25,2021-01,2021,Q1,KEEYA_EUROPE_BV,Europe,Netherlands,,,PAYROLL,Keeya Europe Payroll Batch,Keeya Europe Payroll Batch,SUPPLIER,Payroll,Payroll,Payroll,Partner Accounting Firm Network,Sales,Partner Expansion,,,2021-01-25,2022-01-25,FALSE,,2021-01-25,5155.00,EUR,EUR,1.00,-5155.00,0,2021-01-25,2021-01-25,2021-01-25,INSTANT_SETTLED,0,CURRENT,FALSE,0.00,0.00,FALSE,FALSE,FALSE,derived_from_v4_master,low,Business fact derived from V4 operating simulation.,bank_statement_table + bank_business_mapping_table + business_truth_table,,,,,,1
MASTER-0000007,keeya_europe_bank_business_master_table,BANK_TO_BUSINESS,2021-01,TRUE,-5584.59,-5584.59,FALSE,1,1,BTX-EXP-202101-0011,KEEYA-TAX-RESERVE,tax reserve account,2021-01-25,2021-01-25,2021-01-26,1,OUTFLOW,-5584.59,EUR,1.000000,EUR,-5584.59,-5584.59,NL TAX AUTHORITY,PAYROLL TAX 2021-01,VREF-NL-TAX-202101-011,Direct Debit,SEPA_BANK_EXPORT,Netherlands,PAYROLL,TRUE,FALSE,FALSE,FALSE,FALSE,,2021-01-25 | -5584.59 | EUR | NL TAX AUTHORITY | PAYROLL TAX 2021-01 | VREF-NL-TAX-202101-011,MAP-0000007,ONE_TO_ONE,-5584.59,EUR,-5584.59,1.000000,0.94,,ALLOCATED,Duplicate label removed during repair because row was not part of a high-similarity duplicate group.,BE-EXP-202101-011,2021-01-25,2021-01,2021,Q1,KEEYA_EUROPE_BV,Europe,Netherlands,,,TAX-NL,Belastingdienst,Belastingdienst,SUPPLIER,Employer Social Contribution / Payroll Tax,Employer Social Contribution / Payroll Tax,Employer Social Contribution / Payroll Tax,Core Automation Platform,Operations,Core Platform,,,2021-01-25,2022-01-25,FALSE,,2021-01-25,5584.59,EUR,EUR,1.00,-5584.59,0,2021-01-25,2021-01-25,2021-01-25,INSTANT_SETTLED,0,CURRENT,FALSE,0.00,0.00,FALSE,FALSE,FALSE,derived_from_v4_master,low,Business fact derived from V4 operating simulation.,bank_statement_table + bank_business_mapping_table + business_truth_table,,,,,,1
MASTER-0000008,keeya_europe_bank_business_master_table,BANK_TO_BUSINESS,2021-01,TRUE,-969.13,-969.13,FALSE,1,1,BTX-EXP-202101-0012,KEEYA-NL-OPER-001,EUR operating account,2021-01-26,2021-01-26,2021-01-27,3,OUTFLOW,-969.13,EUR,1.000000,EUR,-969.13,-2920.85,UNKNOWN VENDOR,GOOGLE WORKSPACE BILL-202101-012,VREF-BILL-202101-012,Direct Debit,SEPA_BANK_EXPORT,Ireland,B2B_SUPPLIER,TRUE,FALSE,FALSE,FALSE,TRUE,UNKNOWN_COUNTERPARTY,2021-01-26 | -969.13 | EUR | UNKNOWN VENDOR | GOOGLE WORKSPACE BILL-202101-012 | VREF-BILL-202101-012,MAP-0000009,ONE_TO_ONE,-969.13,EUR,-969.13,1.000000,0.68,,REVIEW_NEEDED,Direct bank transaction to business event mapping.,BE-EXP-202101-012,2021-01-25,2021-01,2021,Q1,KEEYA_EUROPE_BV,Europe,Ireland,,,SUP-UNKNOWN,Unknown Vendor,Unknown Vendor,SUPPLIER,Software Subscription,Software Subscription,Software Subscription,Core Automation Platform,Operations,Core Platform,,,2021-01-25,2022-01-25,FALSE,,2021-01-25,969.13,EUR,EUR,1.00,-969.13,0,2021-01-25,2021-01-25,2021-01-26,INSTANT_SETTLED,1,CURRENT,FALSE,0.00,0.00,FALSE,FALSE,FALSE,derived_from_v4_master,low,Business fact derived from V4 operating simulation.,bank_statement_table + bank_business_mapping_table + business_truth_table,,,,,,1
MASTER-0000009,keeya_europe_bank_business_master_table,BANK_TO_BUSINESS,2021-01,TRUE,-3436.67,-3436.67,FALSE,1,1,BTX-EXP-202101-0010,KEEYA-PAYROLL-001,payroll account,2021-01-26,2021-01-26,2021-01-27,2,OUTFLOW,-3436.67,EUR,1.000000,EUR,-3436.67,-8591.67,UNKNOWN VENDOR,PAYROLL BATCH 2021-01,VREF-PAY-2021-01-ESS,Payroll Batch,SEPA_BANK_EXPORT,Netherlands,PAYROLL,TRUE,FALSE,FALSE,FALSE,TRUE,UNKNOWN_COUNTERPARTY,2021-01-26 | -3436.67 | EUR | UNKNOWN VENDOR | PAYROLL BATCH 2021-01 | VREF-PAY-2021-01-ESS,MAP-0000008,ONE_TO_ONE,-3436.67,EUR,-3436.67,1.000000,0.68,,REVIEW_NEEDED,Direct bank transaction to business event mapping.,BE-EXP-202101-010,2021-01-25,2021-01,2021,Q1,KEEYA_EUROPE_BV,Europe,Netherlands,,,SUP-UNKNOWN,Unknown Vendor,Unknown Vendor,SUPPLIER,Payroll,Payroll,Payroll,Core Automation Platform,Customer Success,Core Platform,,,2021-01-25,2022-01-25,FALSE,,2021-01-25,3436.67,EUR,EUR,1.00,-3436.67,0,2021-01-25,2021-01-25,2021-01-26,INSTANT_SETTLED,1,CURRENT,FALSE,0.00,0.00,FALSE,FALSE,FALSE,derived_from_v4_master,low,Business fact derived from V4 operating simulation.,bank_statement_table + bank_business_mapping_table + business_truth_table,,,,,,1
MASTER-0000010,keeya_europe_bank_business_master_table,BANK_TO_BUSINESS,2021-01,TRUE,-257.75,-257.75,FALSE,1,1,BTX-EXP-202101-0019,KEEYA-NL-OPER-001,EUR operating account,2021-01-26,2021-01-27,2021-01-28,4,OUTFLOW,-257.75,EUR,1.000000,EUR,-257.75,-3178.60,ING SERVICE CHARGES,,VREF-BTX-EXP-202101-0019,Direct Debit,SEPA_BANK_EXPORT,Netherlands,B2B_SUPPLIER,TRUE,FALSE,FALSE,FALSE,TRUE,MISSING_DESCRIPTION,2021-01-26 | -257.75 | EUR | ING SERVICE CHARGES |  | VREF-BTX-EXP-202101-0019,MAP-0000010,ONE_TO_ONE,-257.75,EUR,-257.75,1.000000,0.68,,REVIEW_NEEDED,Direct bank transaction to business event mapping.,BE-EXP-202101-019,2021-01-26,2021-01,2021,Q1,KEEYA_EUROPE_BV,Europe,Netherlands,,,BANK-ING,ING Bank N.V.,ING Bank N.V.,SUPPLIER,Bank Charges,Bank Charges,Bank Charges,Core Automation Platform,Finance,Core Platform,,,2021-01-26,2022-01-26,FALSE,,2021-01-26,257.75,EUR,EUR,1.00,-257.75,0,2021-01-26,2021-01-26,2021-01-26,INSTANT_SETTLED,0,CURRENT,FALSE,0.00,0.00,FALSE,FALSE,FALSE,derived_from_v4_master,low,Business fact derived from V4 operating simulation.,bank_statement_table + bank_business_mapping_table + business_truth_table,,,,,,2
